"TIME_PERIOD";"GEO";"ERWP";"ERWL";"POP1564";"UNIT_MEA";"OBS_VALUE";"OBS_CONFIDENCE";"OBS_STATUS"
2010;"CH040";"1";"Total";"Total";"pers";790988;0.6410;"A"
2010;"CH040";"Total";"Total";"Total";"pers";1153705;0.1205;"A"
2010;"CH021";"1";"Total";"Total";"pers";545121;0.8064;"A"
2010;"CH021";"Total";"Total";"Total";"pers";824336;0.1226;"A"
2010;"CH061";"1";"Total";"Total";"pers";213370;0.9513;"A"
2010;"CH061";"Total";"Total";"Total";"pers";310985;0.1491;"A"
2010;"CH062";"1";"Total";"Total";"pers";18568;4.6474;"A"
2010;"CH062";"Total";"Total";"Total";"pers";28915;0.6373;"A"
2010;"CH063";"1";"Total";"Total";"pers";84203;2.1447;"A"
2010;"CH063";"Total";"Total";"Total";"pers";121348;0.3689;"A"
2010;"CH064";"1";"Total";"Total";"pers";20816;4.2964;"A"
2010;"CH064";"Total";"Total";"Total";"pers";29328;0.7590;"A"
2010;"CH065";"1";"Total";"Total";"pers";23391;4.1624;"A"
2010;"CH065";"Total";"Total";"Total";"pers";34624;0.6294;"A"
2010;"CH051";"1";"Total";"Total";"pers";22168;4.4301;"A"
2010;"CH051";"Total";"Total";"Total";"pers";32272;0.8505;"A"
2010;"CH066";"1";"Total";"Total";"pers";64443;1.8018;"A"
2010;"CH066";"Total";"Total";"Total";"pers";93173;0.2884;"A"
2010;"CH022";"1";"Total";"Total";"pers";153250;1.6720;"A"
2010;"CH022";"Total";"Total";"Total";"pers";224578;0.1990;"A"
2010;"CH023";"1";"Total";"Total";"pers";143749;1.7341;"A"
2010;"CH023";"Total";"Total";"Total";"pers";215052;0.2882;"A"
2010;"CH031";"1";"Total";"Total";"pers";94100;2.2150;"A"
2010;"CH031";"Total";"Total";"Total";"pers";153239;0.2978;"A"
2010;"CH032";"1";"Total";"Total";"pers";146890;1.7571;"A"
2010;"CH032";"Total";"Total";"Total";"pers";231553;0.2601;"A"
2010;"CH052";"1";"Total";"Total";"pers";41839;3.2965;"A"
2010;"CH052";"Total";"Total";"Total";"pers";64315;0.5229;"A"
2010;"CH053";"1";"Total";"Total";"pers";29467;3.7159;"A"
2010;"CH053";"Total";"Total";"Total";"pers";44128;0.6261;"A"
2010;"CH054";"1";"Total";"Total";"pers";8536;7.0570;"A"
2010;"CH054";"Total";"Total";"Total";"pers";12814;1.0767;"A"
2010;"CH055";"1";"Total";"Total";"pers";269676;1.2328;"A"
2010;"CH055";"Total";"Total";"Total";"pers";395992;0.1855;"A"
2010;"CH056";"1";"Total";"Total";"pers";108868;1.9957;"A"
2010;"CH056";"Total";"Total";"Total";"pers";162865;0.2853;"A"
2010;"CH033";"1";"Total";"Total";"pers";349626;0.7629;"A"
2010;"CH033";"Total";"Total";"Total";"pers";509900;0.1104;"A"
2010;"CH057";"1";"Total";"Total";"pers";142324;1.2080;"A"
2010;"CH057";"Total";"Total";"Total";"pers";206477;0.2010;"A"
2010;"CH070";"1";"Total";"Total";"pers";160934;1.2759;"A"
2010;"CH070";"Total";"Total";"Total";"pers";281693;0.1449;"A"
2010;"CH011";"1";"Total";"Total";"pers";372135;0.7775;"A"
2010;"CH011";"Total";"Total";"Total";"pers";573030;0.1308;"A"
2010;"CH012";"1";"Total";"Total";"pers";161622;1.7827;"A"
2010;"CH012";"Total";"Total";"Total";"pers";256526;0.2573;"A"
2010;"CH024";"1";"Total";"Total";"pers";88900;1.5471;"A"
2010;"CH024";"Total";"Total";"Total";"pers";141068;0.1974;"A"
2010;"CH013";"1";"Total";"Total";"pers";221553;1.1078;"A"
2010;"CH013";"Total";"Total";"Total";"pers";359847;0.2142;"A"
2010;"CH025";"1";"Total";"Total";"pers";35590;2.4517;"A"
2010;"CH025";"Total";"Total";"Total";"pers";57490;0.2696;"A"
2010;"CH";"1";"Total";"Total";"pers";4312127;0.2743;"A"
2010;"CH";"Total";"Total";"Total";"pers";6519253;0.0437;"A"
2010;"CH040";"1";"Total";"Total";"pers in %";68.56072;0.4268;"A"
2010;"CH040";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH021";"1";"Total";"Total";"pers in %";66.12845;0.5237;"A"
2010;"CH021";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH061";"1";"Total";"Total";"pers in %";68.61095;0.6348;"A"
2010;"CH061";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH062";"1";"Total";"Total";"pers in %";64.21612;2.9488;"A"
2010;"CH062";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH063";"1";"Total";"Total";"pers in %";69.38999;1.4866;"A"
2010;"CH063";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH064";"1";"Total";"Total";"pers in %";70.97498;3.0535;"A"
2010;"CH064";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH065";"1";"Total";"Total";"pers in %";67.55743;2.7897;"A"
2010;"CH065";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH051";"1";"Total";"Total";"pers in %";68.68981;2.9476;"A"
2010;"CH051";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH066";"1";"Total";"Total";"pers in %";69.16444;1.2096;"A"
2010;"CH066";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH022";"1";"Total";"Total";"pers in %";68.23901;1.1013;"A"
2010;"CH022";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH023";"1";"Total";"Total";"pers in %";66.84393;1.1125;"A"
2010;"CH023";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH031";"1";"Total";"Total";"pers in %";61.40758;1.3103;"A"
2010;"CH031";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH032";"1";"Total";"Total";"pers in %";63.43694;1.0821;"A"
2010;"CH032";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH052";"1";"Total";"Total";"pers in %";65.05317;2.0419;"A"
2010;"CH052";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH053";"1";"Total";"Total";"pers in %";66.77625;2.4197;"A"
2010;"CH053";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH054";"1";"Total";"Total";"pers in %";66.61698;4.6509;"A"
2010;"CH054";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH055";"1";"Total";"Total";"pers in %";68.10148;0.8198;"A"
2010;"CH055";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH056";"1";"Total";"Total";"pers in %";66.84544;1.2805;"A"
2010;"CH056";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH033";"1";"Total";"Total";"pers in %";68.56747;0.5057;"A"
2010;"CH033";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH057";"1";"Total";"Total";"pers in %";68.92948;0.7915;"A"
2010;"CH057";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH070";"1";"Total";"Total";"pers in %";57.13082;0.7084;"A"
2010;"CH070";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH011";"1";"Total";"Total";"pers in %";64.94171;0.4922;"A"
2010;"CH011";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH012";"1";"Total";"Total";"pers in %";63.00426;1.0958;"A"
2010;"CH012";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH024";"1";"Total";"Total";"pers in %";63.01925;0.9428;"A"
2010;"CH024";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH013";"1";"Total";"Total";"pers in %";61.56871;0.6491;"A"
2010;"CH013";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH025";"1";"Total";"Total";"pers in %";61.90690;1.5007;"A"
2010;"CH025";"Total";"Total";"Total";"pers in %";100.00000;0.0000;"A"
2010;"CH";"1";"Total";"Total";"pers in %";66.14449;0.1814;"A"
2010;"CH";"Total";"Total";"Total";"pers in %";100.00000;0.0437;"A"
2010;"CH040";"1";"Total";"1";"pers";771000;0.6676;"A"
2010;"CH040";"Total";"Total";"1";"pers";938365;0.4695;"A"
2010;"CH021";"1";"Total";"1";"pers";534067;0.8313;"A"
2010;"CH021";"Total";"Total";"1";"pers";650369;0.5945;"A"
2010;"CH061";"1";"Total";"1";"pers";208895;0.9840;"A"
2010;"CH061";"Total";"Total";"1";"pers";255097;0.6767;"A"
2010;"CH062";"1";"Total";"1";"pers";18275;4.7488;"A"
2010;"CH062";"Total";"Total";"1";"pers";22663;3.2886;"A"
2010;"CH063";"1";"Total";"1";"pers";82269;2.2207;"A"
2010;"CH063";"Total";"Total";"1";"pers";101140;1.4429;"A"
2010;"CH064";"1";"Total";"1";"pers";20434;4.4313;"A"
2010;"CH064";"Total";"Total";"1";"pers";24745;2.9711;"A"
2010;"CH065";"1";"Total";"1";"pers";22896;4.2955;"A"
2010;"CH065";"Total";"Total";"1";"pers";27933;2.9685;"A"
2010;"CH051";"1";"Total";"1";"pers";21728;4.5697;"A"
2010;"CH051";"Total";"Total";"1";"pers";26346;3.1773;"A"
2010;"CH066";"1";"Total";"1";"pers";62975;1.8689;"A"
2010;"CH066";"Total";"Total";"1";"pers";77301;1.2517;"A"
2010;"CH022";"1";"Total";"1";"pers";151244;1.7077;"A"
2010;"CH022";"Total";"Total";"1";"pers";188374;1.1002;"A"
2010;"CH023";"1";"Total";"1";"pers";140713;1.7925;"A"
2010;"CH023";"Total";"Total";"1";"pers";172247;1.2748;"A"
2010;"CH031";"1";"Total";"1";"pers";91813;2.2887;"A"
2010;"CH031";"Total";"Total";"1";"pers";117976;1.5822;"A"
2010;"CH032";"1";"Total";"1";"pers";143547;1.8147;"A"
2010;"CH032";"Total";"Total";"1";"pers";180326;1.2768;"A"
2010;"CH052";"1";"Total";"1";"pers";40896;3.4075;"A"
2010;"CH052";"Total";"Total";"1";"pers";50616;2.3977;"A"
2010;"CH053";"1";"Total";"1";"pers";28975;3.8137;"A"
2010;"CH053";"Total";"Total";"1";"pers";35512;2.7088;"A"
2010;"CH054";"1";"Total";"1";"pers";8208;7.4647;"A"
2010;"CH054";"Total";"Total";"1";"pers";10222;5.0842;"A"
2010;"CH055";"1";"Total";"1";"pers";264552;1.2703;"A"
2010;"CH055";"Total";"Total";"1";"pers";324081;0.8661;"A"
2010;"CH056";"1";"Total";"1";"pers";106319;2.0692;"A"
2010;"CH056";"Total";"Total";"1";"pers";130223;1.4482;"A"
2010;"CH033";"1";"Total";"1";"pers";342468;0.7887;"A"
2010;"CH033";"Total";"Total";"1";"pers";419823;0.5395;"A"
2010;"CH057";"1";"Total";"1";"pers";139411;1.2506;"A"
2010;"CH057";"Total";"Total";"1";"pers";170528;0.8627;"A"
2010;"CH070";"1";"Total";"1";"pers";156800;1.3165;"A"
2010;"CH070";"Total";"Total";"1";"pers";216873;0.8261;"A"
2010;"CH011";"1";"Total";"1";"pers";364565;0.8012;"A"
2010;"CH011";"Total";"Total";"1";"pers";466501;0.5293;"A"
2010;"CH012";"1";"Total";"1";"pers";159387;1.8172;"A"
2010;"CH012";"Total";"Total";"1";"pers";205861;1.1850;"A"
2010;"CH024";"1";"Total";"1";"pers";87589;1.5795;"A"
2010;"CH024";"Total";"Total";"1";"pers";112519;1.0449;"A"
2010;"CH013";"1";"Total";"1";"pers";216628;1.1425;"A"
2010;"CH013";"Total";"Total";"1";"pers";289374;0.7401;"A"
2010;"CH025";"1";"Total";"1";"pers";35099;2.4968;"A"
2010;"CH025";"Total";"Total";"1";"pers";45312;1.6371;"A"
2010;"CH";"1";"Total";"1";"pers";4220751;0.2832;"A"
2010;"CH";"Total";"Total";"1";"pers";5260326;0.1938;"A"
2010;"CH040";"1";"Total";"1";"pers in %";82.16415;0.3986;"A"
2010;"CH040";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH021";"1";"Total";"1";"pers in %";82.11747;0.4821;"A"
2010;"CH021";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH061";"1";"Total";"1";"pers in %";81.88831;0.5880;"A"
2010;"CH061";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH062";"1";"Total";"1";"pers in %";80.63986;2.7355;"A"
2010;"CH062";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH063";"1";"Total";"1";"pers in %";81.34161;1.3594;"A"
2010;"CH063";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH064";"1";"Total";"1";"pers in %";82.58158;2.7932;"A"
2010;"CH064";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH065";"1";"Total";"1";"pers in %";81.96792;2.5467;"A"
2010;"CH065";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH051";"1";"Total";"1";"pers in %";82.47120;2.6781;"A"
2010;"CH051";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH066";"1";"Total";"1";"pers in %";81.46742;1.1244;"A"
2010;"CH066";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH022";"1";"Total";"1";"pers in %";80.28897;1.0371;"A"
2010;"CH022";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH023";"1";"Total";"1";"pers in %";81.69235;1.0434;"A"
2010;"CH023";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH031";"1";"Total";"1";"pers in %";77.82329;1.3015;"A"
2010;"CH031";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH032";"1";"Total";"1";"pers in %";79.60390;1.0467;"A"
2010;"CH032";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH052";"1";"Total";"1";"pers in %";80.79601;1.9220;"A"
2010;"CH052";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH053";"1";"Total";"1";"pers in %";81.59074;2.2748;"A"
2010;"CH053";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH054";"1";"Total";"1";"pers in %";80.29608;4.3936;"A"
2010;"CH054";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH055";"1";"Total";"1";"pers in %";81.63140;0.7572;"A"
2010;"CH055";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH056";"1";"Total";"1";"pers in %";81.64385;1.1880;"A"
2010;"CH056";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH033";"1";"Total";"1";"pers in %";81.57437;0.4732;"A"
2010;"CH033";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH057";"1";"Total";"1";"pers in %";81.75240;0.7432;"A"
2010;"CH057";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH070";"1";"Total";"1";"pers in %";72.30034;0.7371;"A"
2010;"CH070";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH011";"1";"Total";"1";"pers in %";78.14888;0.4809;"A"
2010;"CH011";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH012";"1";"Total";"1";"pers in %";77.42463;1.0680;"A"
2010;"CH012";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH024";"1";"Total";"1";"pers in %";77.84409;0.9189;"A"
2010;"CH024";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH013";"1";"Total";"1";"pers in %";74.86103;0.6618;"A"
2010;"CH013";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH025";"1";"Total";"1";"pers in %";77.46145;1.4569;"A"
2010;"CH025";"Total";"Total";"1";"pers in %";100.00000;0.0000;"A"
2010;"CH";"1";"Total";"1";"pers in %";80.23744;0.2273;"A"
